[0:0],[0:1],[0:2],[1:0],[1:1],[1:2],[2:0],[2:1],[2:2],Move
_,_,_,_,_,_,_,_,_,4
_,_,_,_,Y,_,_,_,_,0
Y,_,_,_,X,_,_,_,_,1
X,Y,_,_,Y,_,_,_,_,6
Y,X,_,_,X,_,Y,_,_,3
X,Y,_,Y,Y,_,X,_,_,7
Y,X,_,X,X,_,Y,Y,_,5
_,_,_,_,_,_,_,_,_,0
Y,_,_,_,_,_,_,_,_,5
X,_,_,_,_,Y,_,_,_,4
Y,_,_,_,Y,X,_,_,_,6
X,_,_,_,X,Y,Y,_,_,1
Y,Y,_,_,Y,X,X,_,_,8
X,X,_,_,X,Y,Y,_,Y,2
_,_,_,_,_,_,_,_,_,0
Y,_,_,_,_,_,_,_,_,4
X,_,_,_,Y,_,_,_,_,5
Y,_,_,_,X,Y,_,_,_,1
X,Y,_,_,Y,X,_,_,_,6
Y,X,_,_,X,Y,Y,_,_,3
X,Y,_,Y,Y,X,X,_,_,7
Y,X,_,X,X,Y,Y,Y,_,8
X,Y,_,Y,Y,X,X,X,Y,2
_,_,_,_,_,_,_,_,_,4
_,_,_,_,Y,_,_,_,_,0
Y,_,_,_,X,_,_,_,_,5
X,_,_,_,Y,Y,_,_,_,3
Y,_,_,Y,X,X,_,_,_,6
X,_,_,X,Y,Y,Y,_,_,2
Y,_,Y,Y,X,X,X,_,_,1
X,Y,X,X,Y,Y,Y,_,_,7
Y,X,Y,Y,X,X,X,Y,_,8
_,_,_,_,_,_,_,_,_,4
_,_,_,_,Y,_,_,_,_,2
_,_,Y,_,X,_,_,_,_,0
Y,_,X,_,Y,_,_,_,_,3
X,_,Y,Y,X,_,_,_,_,8
_,_,_,_,_,_,_,_,_,6
_,_,_,_,_,_,Y,_,_,2
_,_,Y,_,_,_,X,_,_,0
Y,_,X,_,_,_,Y,_,_,4
X,_,Y,_,Y,_,X,_,_,3
_,_,_,_,_,_,_,_,_,3
_,_,_,Y,_,_,_,_,_,4
_,_,_,X,Y,_,_,_,_,1
_,Y,_,Y,X,_,_,_,_,2
_,X,Y,X,Y,_,_,_,_,6
_,Y,X,Y,X,_,Y,_,_,0
Y,X,Y,X,Y,_,X,_,_,8
X,Y,X,Y,X,_,Y,_,Y,7
Y,X,Y,X,Y,_,X,Y,X,5
_,_,_,_,_,_,_,_,_,0
Y,_,_,_,_,_,_,_,_,4
X,_,_,_,Y,_,_,_,_,1
Y,Y,_,_,X,_,_,_,_,2
X,X,Y,_,Y,_,_,_,_,6
Y,Y,X,_,X,_,Y,_,_,3
X,X,Y,Y,Y,_,X,_,_,5
Y,Y,X,X,X,Y,Y,_,_,8
X,X,Y,Y,Y,X,X,_,Y,7
_,_,_,_,_,_,_,_,_,0
Y,_,_,_,_,_,_,_,_,4
X,_,_,_,Y,_,_,_,_,2
Y,_,Y,_,X,_,_,_,_,1
X,Y,X,_,Y,_,_,_,_,3
Y,X,Y,Y,X,_,_,_,_,6
X,Y,X,X,Y,_,Y,_,_,7
Y,X,Y,Y,X,_,X,Y,_,5
X,Y,X,X,Y,Y,Y,X,_,8
_,_,_,_,_,_,_,_,_,4
_,_,_,_,Y,_,_,_,_,0
Y,_,_,_,X,_,_,_,_,1
X,Y,_,_,Y,_,_,_,_,6
Y,X,_,_,X,_,Y,_,_,3
X,Y,_,Y,Y,_,X,_,_,7
Y,X,_,X,X,_,Y,Y,_,5
