[0:0],[0:1],[0:2],[1:0],[1:1],[1:2],[2:0],[2:1],[2:2],Move
_,_,_,_,_,_,_,_,_,2
_,_,Y,_,_,_,_,_,_,3
_,_,X,Y,_,_,_,_,_,4
_,_,Y,X,Y,_,_,_,_,6
_,_,X,Y,X,_,Y,_,_,0
Y,_,Y,X,Y,_,X,_,_,8
X,_,X,Y,X,_,Y,_,Y,1
_,_,_,_,_,_,_,_,_,0
Y,_,_,_,_,_,_,_,_,4
X,_,_,_,Y,_,_,_,_,2
Y,_,Y,_,X,_,_,_,_,1
X,Y,X,_,Y,_,_,_,_,7
Y,X,Y,_,X,_,_,Y,_,3
X,Y,X,Y,Y,_,_,X,_,5
Y,X,Y,X,X,Y,_,Y,_,8
X,Y,X,Y,Y,X,_,X,Y,6
_,_,_,_,_,_,_,_,_,4
_,_,_,_,Y,_,_,_,_,0
Y,_,_,_,X,_,_,_,_,2
X,_,Y,_,Y,_,_,_,_,3
Y,_,X,Y,X,_,_,_,_,6
_,_,_,_,_,_,_,_,_,0
Y,_,_,_,_,_,_,_,_,4
X,_,_,_,Y,_,_,_,_,6
Y,_,_,_,X,_,Y,_,_,3
X,_,_,Y,Y,_,X,_,_,1
Y,Y,_,X,X,_,Y,_,_,2
X,X,Y,Y,Y,_,X,_,_,5
Y,Y,X,X,X,Y,Y,_,_,8
X,X,Y,Y,Y,X,X,_,Y,7
_,_,_,_,_,_,_,_,_,4
_,_,_,_,Y,_,_,_,_,0
Y,_,_,_,X,_,_,_,_,6
X,_,_,_,Y,_,Y,_,_,2
Y,_,Y,_,X,_,X,_,_,1
X,Y,X,_,Y,_,Y,_,_,7
Y,X,Y,_,X,_,X,Y,_,5
X,Y,X,_,Y,Y,Y,X,_,3
Y,X,Y,Y,X,X,X,Y,_,8
_,_,_,_,_,_,_,_,_,6
_,_,_,_,_,_,Y,_,_,4
_,_,_,_,Y,_,X,_,_,3
_,_,_,Y,X,_,Y,_,_,0
Y,_,_,X,Y,_,X,_,_,8
X,_,_,Y,X,_,Y,_,Y,1
Y,Y,_,X,Y,_,X,_,X,7
_,_,_,_,_,_,_,_,_,0
Y,_,_,_,_,_,_,_,_,4
X,_,_,_,Y,_,_,_,_,2
Y,_,Y,_,X,_,_,_,_,1
X,Y,X,_,Y,_,_,_,_,3
Y,X,Y,Y,X,_,_,_,_,6
X,Y,X,X,Y,_,Y,_,_,7
Y,X,Y,Y,X,_,X,Y,_,5
X,Y,X,X,Y,Y,Y,X,_,8
_,_,_,_,_,_,_,_,_,6
_,_,_,_,_,_,Y,_,_,4
_,_,_,_,Y,_,X,_,_,3
_,_,_,Y,X,_,Y,_,_,0
Y,_,_,X,Y,_,X,_,_,8
X,_,_,Y,X,_,Y,_,Y,1
Y,Y,_,X,Y,_,X,_,X,7
_,_,_,_,_,_,_,_,_,6
_,_,_,_,_,_,Y,_,_,2
_,_,Y,_,_,_,X,_,_,3
_,_,X,Y,_,_,Y,_,_,0
Y,_,Y,X,_,_,X,_,_,1
X,Y,X,Y,_,_,Y,_,_,4
Y,X,Y,X,Y,_,X,_,_,8
X,Y,X,Y,X,_,Y,_,Y,7
Y,X,Y,X,Y,_,X,Y,X,5
_,_,_,_,_,_,_,_,_,3
_,_,_,Y,_,_,_,_,_,4
_,_,_,X,Y,_,_,_,_,6
_,_,_,Y,X,_,Y,_,_,0
Y,_,_,X,Y,_,X,_,_,8
X,_,_,Y,X,_,Y,_,Y,1
Y,Y,_,X,Y,_,X,_,X,7
